"ejercicio_fiscal","clave_de_entidad","entidad_federativa","nombre_principal","origen","peso_vivo_kilogramos","peso_desembarcado_kilogramos","valor_pesos"
2008,1,"AGUASCALIENTES","BAGRE","ACUACULTURA",28514,28514,976034.22
2008,1,"AGUASCALIENTES","CARPA","ACUACULTURA",182634,182634,3250252.92
2008,1,"AGUASCALIENTES","LOBINA","ACUACULTURA",4648,4623,89181.48
2008,1,"AGUASCALIENTES","TILAPIA","ACUACULTURA",305544,305544,3834577.2
2008,2,"BAJA CALIFORNIA","ABULON","ACUACULTURA",29627.35,29627.35,6473426.3866
2008,2,"BAJA CALIFORNIA","ABULON","CAPTURA",213299.247,191197.65,30444871.3661
2008,2,"BAJA CALIFORNIA","ALGAS","CAPTURA",3034935,583880,4127072.1345
2008,2,"BAJA CALIFORNIA","ALMEJA","ACUACULTURA",15767.5,15767.5,667113.02135
2008,2,"BAJA CALIFORNIA","ALMEJA","CAPTURA",1508551.29,1506551.29,28070829.43417
2008,2,"BAJA CALIFORNIA","ANCHOVETA","CAPTURA",1149258.4,990740,484360.59
2008,2,"BAJA CALIFORNIA","ATUN","ACUACULTURA",2922522.734,2805334.96,207551314.00855
2008,2,"BAJA CALIFORNIA","ATUN","CAPTURA",4275734.7,4275505,55116018.6722
2008,2,"BAJA CALIFORNIA","BAGRE","CAPTURA",550,550,8225.58
2008,2,"BAJA CALIFORNIA","BAQUETA","CAPTURA",28585.7932,27953.4814,1070406.5312814
2008,2,"BAJA CALIFORNIA","BARRILETE","CAPTURA",128020,128020,909838.14
2008,2,"BAJA CALIFORNIA","BERRUGATA","CAPTURA",1423918.2,1420091.5,7425026.6733
2008,2,"BAJA CALIFORNIA","BONITO","CAPTURA",772725,772725,6812500.0827
2008,2,"BAJA CALIFORNIA","CABRILLA","CAPTURA",497568.82,471543.2,3762437.91123
2008,2,"BAJA CALIFORNIA","CALAMAR","CAPTURA",6265790.3,5377973,12283105.2316
2008,2,"BAJA CALIFORNIA","CAMARON","ACUACULTURA",181902,178842,8392243.888
2008,2,"BAJA CALIFORNIA","CAMARON","CAPTURA",832348.624,522630.58,58098010.56905
2008,2,"BAJA CALIFORNIA","CAPTURA SIN REGISTRO OFICIAL","CAPTURA",739020.546,739020.546,5171140.618404
2008,2,"BAJA CALIFORNIA","CARACOL","CAPTURA",538240,161824,1805911.4424
2008,2,"BAJA CALIFORNIA","CARPA","CAPTURA",10300,10300,58031.23
2008,2,"BAJA CALIFORNIA","CAZON","CAPTURA",55381.15,49050.5,695774.2803
2008,2,"BAJA CALIFORNIA","CORVINA","CAPTURA",1364395.995,1252604.55,13202939.13638
2008,2,"BAJA CALIFORNIA","ERIZO","CAPTURA",2039054.15,2029130.15,100193765.58
2008,2,"BAJA CALIFORNIA","FAUNA","CAPTURA",152449.25,129194.2792,870278.5035917
2008,2,"BAJA CALIFORNIA","GUACHINANGO","CAPTURA",446,446,18205.2294
2008,2,"BAJA CALIFORNIA","JAIBA","CAPTURA",71417.08,71417.08,843216.114166
2008,2,"BAJA CALIFORNIA","JUREL","CAPTURA",145439.2,142022.5,1526859.21255
2008,2,"BAJA CALIFORNIA","LANGOSTA","CAPTURA",359477.05,359477.05,37689320.71993
2008,2,"BAJA CALIFORNIA","LENGUADO","ACUACULTURA",55576.37,55576.37,5724366.11
2008,2,"BAJA CALIFORNIA","LENGUADO","CAPTURA",351950.35,328745.9,7442489.64738
2008,2,"BAJA CALIFORNIA","LISA","CAPTURA",53996,53861,485034.4366
2008,2,"BAJA CALIFORNIA","LOBINA","CAPTURA",3450,3450,68440.41
2008,2,"BAJA CALIFORNIA","MACARELA","CAPTURA",179750,179750,245346
2008,2,"BAJA CALIFORNIA","MERO Y SIMILARES","CAPTURA",10481.5349,9582.2803,241235.4605515
2008,2,"BAJA CALIFORNIA","MOJARRA","CAPTURA",75304.9132,75267.8951,1461835.3471788
2008,2,"BAJA CALIFORNIA","OSTION","ACUACULTURA",1077123.75,1077123.75,17530481.976
2008,2,"BAJA CALIFORNIA","OTRAS","ACUACULTURA",353664,353664,7644889.5355
2008,2,"BAJA CALIFORNIA","OTRAS","CAPTURA",3055741.3275,3066740.33,42368231.333805
2008,2,"BAJA CALIFORNIA","PAMPANO","CAPTURA",2315,2315,67313.0235
2008,2,"BAJA CALIFORNIA","PARGO","CAPTURA",1437.5183,1432.512,40232.9629809
2008,2,"BAJA CALIFORNIA","PEPINO DE MAR","CAPTURA",187606.12,187606.12,4332855.4029
2008,2,"BAJA CALIFORNIA","PIERNA","CAPTURA",781,781,5057.0631
2008,2,"BAJA CALIFORNIA","PULPO","CAPTURA",192320.4165,177096.6682,5730312.1826768
2008,2,"BAJA CALIFORNIA","RAYA Y SIMILARES","CAPTURA",469130.05,322728,3696961.65995
2008,2,"BAJA CALIFORNIA","RONCO","CAPTURA",3046.1,2840,43073.3743
2008,2,"BAJA CALIFORNIA","SARDINA","CAPTURA",77564649.32,66866077,55301432.8498
2008,2,"BAJA CALIFORNIA","SARGAZO","CAPTURA",264252.45,240229.5,875790.02225
